g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
0.01,m,3,none,none,10,3,-0.0001249974999023774,1.8189894035458565e-12
0.01,m,3,none,none,10,5,-0.0002499964063624738,3.5630292689208415e-7
0.01,m,3,none,none,10,10,-0.0005624936725117102,6.666429689595004e-7
0.01,m,3,none,none,20,3,-0.0001249974999023774,4.812593599244048e-12
0.01,m,3,none,none,20,5,-0.0002499964063620297,3.5630323816746167e-7
0.01,m,3,none,none,20,10,-0.0005624936725112661,6.666433432289131e-7
0.01,m,3,none,none,50,3,-0.00012499749990237742,0.0
0.01,m,3,none,none,50,5,-0.0002499964063624738,3.5630292666921385e-7
0.01,m,3,none,none,50,10,-0.0005624936725117102,6.666429699918584e-7
0.01,dvr,3,none,none,10,3,-0.00012544354802057983,5.02778674166084e-11
0.01,dvr,3,none,none,10,5,-0.00025089272286793474,3.875768730967157e-7
0.01,dvr,3,none,none,10,10,-0.000564515662393017,7.251970771518372e-7
0.01,dvr,3,none,none,20,3,-0.0001254435480206119,1.219265761382768e-10
0.01,dvr,3,none,none,20,5,-0.0002508927228683788,3.875765942629177e-7
0.01,dvr,3,none,none,20,10,-0.0005645156623934611,7.251967935823574e-7
0.01,dvr,3,none,none,50,3,-0.00012544354802060894,8.155079475349301e-11
0.01,dvr,3,none,none,50,5,-0.0002508927228683788,3.8757663600860655e-7
0.01,dvr,3,none,none,50,10,-0.0005645156623934611,7.25196682694944e-7
0.1,m,3,none,none,10,3,-0.01247490566817906,3.2927225399135965e-10
0.1,m,3,none,none,10,5,-0.02496423231116296,7.546057041924068e-5
0.1,m,3,none,none,10,10,-0.05618757058327439,0.00014223550731683228
0.1,m,3,none,none,20,3,-0.012474905668179057,3.2927225399135965e-10
0.1,m,3,none,none,20,5,-0.02496423231116296,7.546057042139584e-5
0.1,m,3,none,none,20,10,-0.05618757058327439,0.0001422355073275039
0.1,m,3,none,none,50,3,-0.012474905668179057,1.6463612699567982e-10
0.1,m,3,none,none,50,5,-0.024964232311163403,7.546057027699948e-5
0.1,m,3,none,none,50,10,-0.05618757058327484,0.0001422355070835812
0.1,dvr,3,none,none,10,3,-0.013011177197002621,9.599853366654507e-10
0.1,dvr,3,none,none,10,5,-0.026107470067347816,8.751210953789313e-5
0.1,dvr,3,none,none,10,10,-0.058854139927099425,0.0001660983120299869
0.1,dvr,3,none,none,20,3,-0.013011177197002585,6.376329780383572e-10
0.1,dvr,3,none,none,20,5,-0.026107470067347816,8.751210953417638e-5
0.1,dvr,3,none,none,20,10,-0.058854139927099425,0.00016609831194121328
0.1,dvr,3,none,none,50,3,-0.013011177197002627,6.585445079827193e-10
0.1,dvr,3,none,none,50,5,-0.026107470067347816,8.751210954470717e-5
0.1,dvr,3,none,none,50,10,-0.058854139927099425,0.00016609831202607042
1.0,m,3,none,none,10,3,-1.022284339659235,4.9421560620597e-8
1.0,m,3,none,none,10,5,-2.1344119527788674,0.000673485777773474
1.0,m,3,none,none,10,10,-5.044316035108742,0.008500007304095124
1.0,m,3,none,none,20,3,-1.022284339659236,1.4901161193847656e-8
1.0,m,3,none,none,20,5,-2.134412086807059,2.9802322387695312e-8
1.0,m,3,none,none,20,10,-5.044402347990848,0.005545402337500584
1.0,m,3,none,none,50,3,-1.022284339659236,0.0
1.0,m,3,none,none,50,5,-2.1344120868070573,8.429369702178807e-8
1.0,m,3,none,none,50,10,-5.044402389146006,0.005537306004777046
1.0,dvr,3,none,none,10,3,-2.205499278550121,5.1619136559035694e-8
1.0,dvr,3,none,none,10,5,-4.950118048746795,0.00030868953201477215
1.0,dvr,3,none,none,10,10,-11.813330599045816,0.0005105020876088846
1.0,dvr,3,none,none,20,3,-2.2054992785501213,4.2146848510894035e-8
1.0,dvr,3,none,none,20,5,-4.950118048746799,0.0003086895550328092
1.0,dvr,3,none,none,20,10,-11.81333059904582,0.0005105020876088846
1.0,dvr,3,none,none,50,3,-2.205499278550121,5.1619136559035694e-8
1.0,dvr,3,none,none,50,5,-4.950118048746792,0.00030868962408691015
1.0,dvr,3,none,none,50,10,-11.813330599045827,0.000510502226793945
5.0,m,3,none,none,10,3,-9.00483371561914,0.0035341250533914973
5.0,m,3,none,none,10,5,-18.170462612790484,0.04317040103966846
5.0,m,3,none,none,10,10,-41.2978867964313,0.003698577481560611
5.0,m,3,none,none,20,3,-9.004852254556704,0.00023117315502277708
5.0,m,3,none,none,20,5,-18.17561142776506,0.025056295380788407
5.0,m,3,none,none,20,10,-41.297886796431264,0.0036985768975387546
5.0,m,3,none,none,50,3,-9.004852334949351,2.9200193199910854e-7
5.0,m,3,none,none,50,5,-18.176344630327648,0.0022470164348480075
5.0,m,3,none,none,50,10,-41.29788679643136,0.003698576836062764
5.0,dvr,3,none,none,10,3,-18.037785748831077,6.743495761743046e-7
5.0,dvr,3,none,none,10,5,-36.71943441883827,0.002164594493427174
5.0,dvr,3,none,none,10,10,-83.42355636288622,0.004039894755694601
5.0,dvr,3,none,none,20,3,-18.03778574883107,4.76837158203125e-7
5.0,dvr,3,none,none,20,5,-36.719434418838254,0.002164594598469329
5.0,dvr,3,none,none,20,10,-83.42355636288627,0.0040398975697975665
5.0,dvr,3,none,none,50,3,-18.037785748831077,5.840038639982171e-7
5.0,dvr,3,none,none,50,5,-36.71943441883827,0.002164594493427174
5.0,dvr,3,none,none,50,10,-83.42355636288622,0.004039897119541224
20.0,m,3,none,none,10,3,-40.06607639662019,0.039920409758657086
20.0,m,3,none,none,10,5,-79.76464523464253,0.15376567906526298
20.0,m,3,none,none,10,10,-179.4959960211594,0.012102287748335858
20.0,m,3,none,none,20,3,-40.06714487428823,0.009314535473854368
20.0,m,3,none,none,20,5,-79.7714960715135,0.1044637200063885
20.0,m,3,none,none,20,10,-179.49599602115936,0.012102288650143537
20.0,m,3,none,none,50,3,-40.0672065203073,0.00011833057796336971
20.0,m,3,none,none,50,5,-79.78056687018878,0.03530206931991562
20.0,m,3,none,none,50,10,-179.4959960211594,0.01210228985255367
20.0,dvr,3,none,none,10,3,-78.00930557818586,0.0009349102364468194
20.0,dvr,3,none,none,10,5,-156.6796862509747,0.0032404247870597026
20.0,dvr,3,none,none,10,10,-353.3556379329871,0.006239894477485324
20.0,dvr,3,none,none,20,3,-78.00930557818586,0.0009349102364468194
20.0,dvr,3,none,none,20,5,-156.6796862509747,0.0032404247870597026
20.0,dvr,3,none,none,20,10,-353.3556379329871,0.006239888647289766
20.0,dvr,3,none,none,50,3,-78.00930557818586,0.0009349102364468194
20.0,dvr,3,none,none,50,5,-156.6796862509747,0.0032404247870597026
20.0,dvr,3,none,none,50,10,-353.3556379329871,0.006239888647289766
100.0,m,3,none,none,10,3,-205.98865864875327,0.24919168895515473
100.0,m,3,none,none,10,5,-408.6178535428923,0.6503971478722937
100.0,m,3,none,none,10,10,-917.1309604051077,0.055069847025955805
100.0,m,3,none,none,20,3,-205.9979234990791,0.0821178853700818
100.0,m,3,none,none,20,5,-408.64357257088585,0.384863242339856
100.0,m,3,none,none,20,10,-917.1309604051082,0.05506985548178557
100.0,m,3,none,none,50,3,-205.9990424440912,0.002883079701619803
100.0,m,3,none,none,50,5,-408.6830866224589,0.19571339598191637
100.0,m,3,none,none,50,10,-917.1309604051087,0.05506986288063555
100.0,dvr,3,none,none,10,3,-398.00185370389374,9.091472845316303e-5
100.0,dvr,3,none,none,10,5,-796.669261522938,0.0006699981201202438
